,city,cloudiness,humidity,lat,pressure,temperature,wind
112,scarborough,0,83,57.31,1001.36,285.257,1.62
113,scarborough,92,87,58.6,1014.0,287.62,1.5
114,scarborough,0,69,45.22,1012.0,296.15,2.1
115,scarborough,40,62,26.63,1015.0,305.15,3.6
116,scarborough,8,82,-6.66,1007.11,300.807,1.17
117,scarborough,0,69,-20.74,1014.97,284.257,2.22
118,scarborough,92,99,71.64,998.12,282.207,2.87
119,scarborough,20,89,28.68,1010.92,298.557,1.22
120,scarborough,0,59,41.42,955.15,294.057,2.87
121,scarborough,12,60,-19.17,985.96,295.007,1.87
122,scarborough,36,26,34.75,1020.0,297.73,3.1
123,scarborough,0,55,36.2,823.19,287.157,1.07
124,scarborough,92,80,62.53,936.92,277.907,2.57
125,scarborough,0,100,-28.77,1025.83,285.407,2.57
126,scarborough,1,56,39.95,1009.0,307.15,5.1
127,scarborough,12,67,-31.4,856.91,270.257,1.12
128,scarborough,1,9,40.83,1020.0,310.15,5.1
129,scarborough,75,88,59.7,1011.0,293.15,2.0
130,scarborough,0,31,-9.87,1011.0,306.15,2.1
131,scarborough,0,34,-33.93,1019.0,293.15,7.2
132,scarborough,40,62,26.54,1015.0,305.15,3.6
133,scarborough,64,68,45.6,1016.0,293.6,2.6
134,scarborough,0,80,-28.95,1004.2,281.957,2.92
135,scarborough,20,91,20.04,1022.43,302.907,2.17
136,scarborough,0,44,8.41,969.26,299.857,7.27
137,scarborough,0,99,-15.19,1025.83,292.557,4.22
138,scarborough,92,95,-33.21,971.77,278.857,5.57
139,scarborough,1,31,29.74,1012.0,311.32,4.6
140,scarborough,75,62,19.55,1015.0,303.66,6.7
141,scarborough,1,38,41.28,1019.0,297.56,3.6
142,scarborough,20,41,53.82,1012.0,298.15,1.5
143,scarborough,1,47,41.39,1019.0,299.49,3.1
144,scarborough,90,100,-34.76,1006.0,285.65,4.07
145,scarborough,8,72,-14.56,966.42,288.807,3.92
146,scarborough,20,82,70.95,1019.0,286.62,4.1
147,scarborough,0,57,37.14,1015.0,297.15,5.7
148,scarborough,32,40,16.97,967.23,303.557,0.87
149,scarborough,8,89,58.61,955.8,282.757,0.87
150,scarborough,0,86,-3.24,833.56,282.557,1.32
151,scarborough,40,56,30.04,1013.0,307.66,2.6
152,scarborough,1,21,44.25,1015.0,307.15,3.1
153,scarborough,56,79,27.15,996.0,306.15,3.1
154,scarborough,80,100,2.67,1023.97,299.007,5.02
155,scarborough,40,83,41.96,1006.0,296.15,1.0
156,scarborough,0,62,-20.31,1015.0,288.15,2.6
157,scarborough,40,70,13.22,1013.0,302.15,9.3
158,scarborough,0,52,48.95,1016.0,294.25,2.1
159,scarborough,1,18,39.15,1011.0,310.15,5.1
160,scarborough,0,76,63.86,1010.0,285.15,2.6
161,scarborough,92,99,5.96,1002.17,294.257,0.92
162,scarborough,40,88,33.93,1011.0,298.15,2.1
163,scarborough,24,92,48.6,1008.9,295.907,1.92
164,scarborough,90,93,-34.68,1006.0,285.64,5.1
165,scarborough,56,97,49.03,870.69,285.907,1.82
166,scarborough,44,96,13.32,1016.84,302.557,6.12
167,scarborough,5,46,22.89,1015.0,306.15,4.1
168,scarborough,0,67,47.47,902.95,283.557,2.52
169,scarborough,75,77,38.52,1029.0,294.15,5.1
170,scarborough,0,74,-30.97,885.04,277.357,3.72
171,scarborough,90,73,41.96,1012.0,299.82,3.6
172,scarborough,0,27,33.12,1011.0,297.15,2.1
173,scarborough,20,83,38.18,1014.0,298.15,1.5
174,scarborough,36,87,1.04,822.05,290.457,1.32
175,scarborough,0,18,29.56,906.76,311.307,1.77
176,scarborough,20,83,-6.34,1010.0,299.15,1.5
177,scarborough,75,20,23.99,1022.0,302.15,4.6
178,scarborough,0,50,-34.61,928.81,278.907,6.17
179,scarborough,40,64,-20.41,1024.0,294.15,6.7
180,scarborough,0,72,42.46,1019.0,289.15,1.5
181,scarborough,32,84,77.48,989.77,278.107,1.52
182,scarborough,20,84,57.07,1006.95,287.757,2.57
183,scarborough,0,69,45.16,1012.0,296.15,2.1
184,scarborough,20,74,-1.82,1023.32,300.607,2.87
185,scarborough,0,24,18.9,987.5,306.407,3.67
186,scarborough,75,100,17.54,1005.0,297.15,1.97
